ProdDescr,Q1
"✅ 20W Fast Charger with Cable: Fast Charger equipped with 20W PD 3.0 USB Type C power delivery with cable, PD 3.0 Quick-Charge USB C port provides Max 20W output power, charge your device up to 3x.|✅ Wide Compatibility: Fast charger for iPhone 13 / 13 Mini / 13 Pro / 13 Pro Max / 12 / 12 Mini / 12 Pro / 12 Pro Max, iPhone SE, iPhone 11 / 11 Pro / 11 Pro Max, iPhone XS / XS Max / XR / X, iPad Pro 12.9 / 11 / iPad Air 3 / iPad Mini(2019).|✅ Safety Protection: The charger shell is made of high quality ABS material, heat resistance and low temperature resistance, chemical resistance and excellent electrical properties. The Charger Internal High Quality Chips Protect Your Devices from overHeating, Short-circuiting and over Charging.|✅ Compact & Lightweight: Extremely compact size & travel-friendly design fits into your pocket or bag easily without occupying too much space and ensures incredible portability wherever you go. Handy for home, office, and vacations.|✅Sales Package: 1 x 20w C-Type Adapter, 1 x C to Lightning Cable (1 Meter)",What is the maximum output power of the 20W PD 3.0 USB Type C power delivery?
"USB Charger with dual ports allow you to charge 2 devices at the same time with the total output of 2.4A current.|With the intelligent chip inside, dual USB wall charger matches the current as your device's need automatically. Over-current, over-voltage and short-circuit protection also effectively protect your smartphones from damage|Internal protection mechanisms offers multiple Protection against short-circuit, over-temperature, over-current, over-voltage and more|Robust textured casing and premium internal components ensure perfect performance|Power Source Type: Corded Electric; Specification Met: Bis",hat is the total output current of the USB charger? 
LED indicator|Trendy two colours|Compatible with worldwide plugs|Ergonomic product design,What colours does the LED indicator have? 
"🎁【18W Fast Charging- Always Speedy】Two ports pump out up to 18 watts of power, enabling simultaneous fast charging for two devices. 18W Type-C output port to give the latest devices a full-speed charge.|🎁【Universal Compatibility】Support all iPhone and Android Fast Charge, Quick Charge protocols like PD3.0, QC3.0, PE2.0, etc.Support all Android fast charge protocols, QC3.0, PE2.0, Dash Charge, VOOC, etc. Perfectly fits the charging needs of iPhone 13/13 Mini/13 Pro/13 Pro Max/12/11/11 Pro/11 Pro Max/XS/XR/SE/X/8 Plus, AirPods Pro, iPad series, Galaxy S21/S20 series, Note20/Note10/S10/S9, Pixel series, Nintendo Switch, and more.|🎁【PE2.0,PD 3.0 & QC 3.0】: Equipped with a 18W Power Delivery,3.0 port, and an 18W Quick Charge 3.0 port, the charger allows for charging two devices simultaneously|🎁【Safe and Reliable】This UL-certified USB C charger With the built-in intelligent chip, the wall charger matches the current as your device needs automatically, ensure safety and protection for your devices. No matter how fast it charges, you won’t have to worry about your phone heating up at all. A combination of 6 safety features that work together to provide ultimate protection for you and your devices|🎁【 Ultra-Fast Type-C Cable Included】 Oraimo 18W fast charger adapter comes with a fast charging type-c cable, It enables full speed charging and syncing to new Type-C models in the market.",What is the maximum output of the charger?
"✅ 20W Fast Charger with Cable: Fast Charger equipped with 20W PD 3.0 USB Type C power delivery with cable, PD 3.0 Quick-Charge USB C port provides Max 20W output power, charge your device up to 3x.|✅ Wide Compatibility: Fast charger for iPhone 13 / 13 Mini / 13 Pro / 13 Pro Max / 12 / 12 Mini / 12 Pro / 12 Pro Max, iPhone SE, iPhone 11 / 11 Pro / 11 Pro Max, iPhone XS / XS Max / XR / X, iPad Pro 12.9 / 11 / iPad Air 3 / iPad Mini(2019).|✅ Safety Protection: The charger shell is made of high quality ABS material, heat resistance and low temperature resistance, chemical resistance and excellent electrical properties. The Charger Internal High Quality Chips Protect Your Devices from overHeating, Short-circuiting and over Charging.|✅ Compact & Lightweight: Extremely compact size & travel-friendly design fits into your pocket or bag easily without occupying too much space and ensures incredible portability wherever you go. Handy for home, office, and vacations.|✅Sales Package: 1 x 20w C-Type Adapter, 1 x C to Lightning Cable (1 Meter)",What type of charger is this?
"【Dual Port USB Wall Charger Adapter】Oraimo USB Charger with dual ports allow you to charge 2 devices at the same time with the total output of 2.4A current. Single port allows Max 2.4A current when connecting only one device. Much more convenient and save your time effectively.|【Safe Charging】With the intelligent chip inside, dual USB wall charger matches the current as your device's need automatically. Over-current, over-voltage and short-circuit protection also effectively protect your smartphones from damage|【Multi-Protection】 Internal protection mechanisms offers multiple Protection against short-circuit, over-temperature, over-current, over-voltage and more|【Wide Compatibility】Wall charger works for all phones with USB-A Cables - iPhone 12/12 Mini/12 Pro/12 Pro Max/11/ 11 Pro/XR/X/Xs/8/8 Plus/7Plus/7/6/6S/5, iPad Air, iPad mini, iPad Pro, Samsung Galaxy M30s/A30s/A50s/A10s/A10e/M40/A20e/A10/S10+/S10/S10e/S9/S9+/S8/S8+/Note 9/8, Google Pixel, HTC, BLU, Xiaomi, LG Q70/K30/K20/K40S/K50S/G7/G6/G5, Blackberry, Nokia, Motorola, Sony, Huawei, and any other USB outlet devices|【Durable Design】 Robust textured casing and premium internal components ensure perfect performance regardless of scrapes, bumps, or drops.",What is the total output of the dual port USB wall charger adapter?
"✅ 20W Fast Charger with Cable: Fast Charger equipped with 20W PD 3.0 USB Type C power delivery with cable, PD 3.0 Quick-Charge USB C port provides Max 20W output power, charge your device up to 3x.|✅ Wide Compatibility: Fast charger for iPhone 13 / 13 Mini / 13 Pro / 13 Pro Max / 12 / 12 Mini / 12 Pro / 12 Pro Max, iPhone SE, iPhone 11 / 11 Pro / 11 Pro Max, iPhone XS / XS Max / XR / X, iPad Pro 12.9 / 11 / iPad Air 3 / iPad Mini(2019).|✅ Safety Protection: The charger shell is made of high quality ABS material, heat resistance and low temperature resistance, chemical resistance and excellent electrical properties. The Charger Internal High Quality Chips Protect Your Devices from overHeating, Short-circuiting and over Charging.|✅ Compact & Lightweight: Extremely compact size & travel-friendly design fits into your pocket or bag easily without occupying too much space and ensures incredible portability wherever you go. Handy for home, office, and vacations.|✅Sales Package: 1 x 20w C-Type Adapter, 1 x C to Lightning Cable (1 Meter)",What is the maximum output power of the 20W Fast Charger?
LED indicator|Trendy two colours|Compatible with worldwide plugs|Ergonomic product design,What is the product?
"🎁【18W Fast Charging- Always Speedy】Two ports pump out up to 18 watts of power, enabling simultaneous fast charging for two devices. 18W Type-C output port to give the latest devices a full-speed charge.|🎁【Universal Compatibility】Support all iPhone and Android Fast Charge, Quick Charge protocols like PD3.0, QC3.0, PE2.0, etc.Support all Android fast charge protocols, QC3.0, PE2.0, Dash Charge, VOOC, etc. Perfectly fits the charging needs of iPhone 13/13 Mini/13 Pro/13 Pro Max/12/11/11 Pro/11 Pro Max/XS/XR/SE/X/8 Plus, AirPods Pro, iPad series, Galaxy S21/S20 series, Note20/Note10/S10/S9, Pixel series, Nintendo Switch, and more.|🎁【PE2.0,PD 3.0 & QC 3.0】: Equipped with a 18W Power Delivery,3.0 port, and an 18W Quick Charge 3.0 port, the charger allows for charging two devices simultaneously|🎁【Safe and Reliable】This UL-certified USB C charger With the built-in intelligent chip, the wall charger matches the current as your device needs automatically, ensure safety and protection for your devices. No matter how fast it charges, you won’t have to worry about your phone heating up at all. A combination of 6 safety features that work together to provide ultimate protection for you and your devices|🎁【 Ultra-Fast Type-C Cable Included】 Oraimo 18W fast charger adapter comes with a fast charging type-c cable, It enables full speed charging and syncing to new Type-C models in the market.",What is the maximum power output of this USB charger?
"✅ 20W Fast Charger with Cable: Fast Charger equipped with 20W PD 3.0 USB Type C power delivery with cable, PD 3.0 Quick-Charge USB C port provides Max 20W output power, charge your device up to 3x.|✅ Wide Compatibility: Fast charger for iPhone 13 / 13 Mini / 13 Pro / 13 Pro Max / 12 / 12 Mini / 12 Pro / 12 Pro Max, iPhone SE, iPhone 11 / 11 Pro / 11 Pro Max, iPhone XS / XS Max / XR / X, iPad Pro 12.9 / 11 / iPad Air 3 / iPad Mini(2019).|✅ Safety Protection: The charger shell is made of high quality ABS material, heat resistance and low temperature resistance, chemical resistance and excellent electrical properties. The Charger Internal High Quality Chips Protect Your Devices from overHeating, Short-circuiting and over Charging.|✅ Compact & Lightweight: Extremely compact size & travel-friendly design fits into your pocket or bag easily without occupying too much space and ensures incredible portability wherever you go. Handy for home, office, and vacations.|✅Sales Package: 1 x 20w C-Type Adapter, 1 x C to Lightning Cable (1 Meter)",What type of charger is this?
"Made in India Fast Charging Wall Adaptor: This USB travel wall charger port charges at a powerful 12Watt.|Compact & Lightweight: pTron Volta dual port 12W USB charger allows charging at home or in the office via USB cable. A compatible USB cable should be used with this charger to experience fast charging|Dual USB Ports: Volta 2.4A charger comes with 2 USB slots which means that you can charge 2 devices simultaneously with no hassles. So convenient and practical application.|Multi-layer Chipset Protection - The charger comes with multi-layer chipset protection that gives protection against short circuits, over-voltage, and fire-resistance ABS body|Wide Compatibility: Input AC 100-240V, Output DC 5V/2.4A max. You can easily charge your smartphone, power bank, wireless headphones, etc. 6-months manufacturer warranty from the date of purchase",What is the output of the pTron Volta dual port 12W USB charger?
"With The Intelligent Chip Inside, Dual Usb Wall Charger Matches The Current As Your Device'S Need Automatically. Over-Current, Over-Voltage And Short-Circuit Protection Also Effectively Protect Your Smartphones From Damage|Internal Protection Mechanisms Offers Multiple Protection Against Short-Circuit, Over-Temperature, Over-Current, Over-Voltage And More|Robust Textured Casing And Premium Internal Components Ensure Perfect Performance|Usb Charger With Dual Ports Allow You To Charge 2 Devices At The Same Time With The Total Output Of 2.4A Current.|Power Source Type: Corded Electric",What is the intelligent chip inside the Dual USB Wall Charger?
"With The Intelligent Chip Inside, Dual Usb Wall Charger Matches The Current As Your Device'S Need Automatically. Over-Current, Over-Voltage And Short-Circuit Protection Also Effectively Protect Your Smartphones From Damage|Internal Protection Mechanisms Offers Multiple Protection Against Short-Circuit, Over-Temperature, Over-Current, Over-Voltage And More|Robust Textured Casing And Premium Internal Components Ensure Perfect Performance|Usb Charger With Dual Ports Allow You To Charge 2 Devices At The Same Time With The Total Output Of 2.4A Current.|Power Source Type: Corded Electric",What is the total output current of the dual USB charger?
